name;lng;lat;departamento;provincia;sector_label
Universidad Nacional Mayor de San Marcos;-77.083333;-12.058333;Lima;Lima;Publica
Universidad Nacional de San Cristobal de Huamanga;-74.22;-13.148;Ayacucho;Huamanga;Publica
Universidad Nacional de San Antonio Abad del Cusco;-71.958611;-13.521667;Cusco;Cusco;Publica
Universidad Nacional de Trujillo;-79.038595;-8.114656;La Libertad;Trujillo;Publica
Universidad Nacional de San Agustin de Arequipa;-71.958611;-16.397194;Arequipa;Arequipa;Publica
Universidad Nacional de Ingenieria;-77.048611;-12.019722;Lima;Lima;Publica
Universidad Nacional Agraria La Molina;-76.948;-12.082;Lima;Lima;Publica
Universidad Nacional San Luis Gonzaga;-75.733;-14.087;Ica;Ica;Publica
Universidad Nacional del Centro del Peru;-75.237332;-12.033046;Junín;Huancayo;Publica
Universidad Nacional de la Amazonia Peruana;-73.24655794;-3.746906822;Loreto;Maynas;Publica
Universidad Nacional del Altiplano;-70.01622222;-15.82420501;Puno;Puno;Publica
Universidad Nacional de Piura;-80.62157904;-5.154008358;Piura;Piura;Publica
Universidad Nacional de Cajamarca;-78.49651503;-7.16697803;Cajamarca;Cajamarca;Publica
Universidad Nacional Federico Villarreal;-77.091943;-12.075382;Lima;Lima;Publica
Universidad Nacional Agraria de la Selva;-75.996593;-9.317601;Huánuco;Leoncio Prado;Publica
Universidad Nacional Hermilio Valdizan de Huanuco;-76.25030334;-9.949109746;Huánuco;Huánuco;Publica
Universidad Nacional de Educacion Enrique Guzman y Valle;-76.70122512;-11.94745933;Lima;Lima;Publica
Universidad Nacional Daniel Alcides Carrion;-76.253137;-10.668205;Pasco;Pasco;Publica
Universidad Nacional del Callao;-77.117308;-12.06114;Callao;Callao;Publica
Universidad Nacional Jose Faustino Sanchez Carrion;-77.608889;-11.123889;Lima;Huaura;Publica
Universidad Nacional Pedro Ruiz Gallo;-79.90792;-6.707215;Lambayeque;Lambayeque;Publica
Universidad Nacional Jorge Basadre Grohmann;-70.238946;-18.006182;Tacna;Tacna;Publica
Universidad Nacional Santiago Antunez de Mayolo;-77.52868286;-9.520979448;Ancash;Huaraz;Publica
Universidad Nacional de San Martin;-76.377741;-6.484843;San Martín;San Martín;Publica
Universidad Nacional de Ucayali;-74.57762256;-8.394793614;Ucayali;Coronel Portillo;Publica
Universidad Nacional de Tumbes;-80.444137;-3.582867;Tumbes;Tumbes;Publica
Universidad Nacional del Santa;-78.51337452;-9.120667037;Ancash;Santa;Publica
Universidad Nacional de Huancavelica;-74.96145263;-12.77796434;Huancavelica;Huancavelica;Publica
Universidad Nacional Amazonica de Madre de Dios;-69.20952908;-12.58848892;Madre De Dios;Tambopata;Publica
Universidad Nacional Toribio Rodriguez de Mendoza de Amazonas;-77.8724;-6.22942;Amazonas;Chachapoyas;Publica
Universidad Nacional Micaela Bastidas de Apurimac;-72.868011;-13.617037;Apurímac;Abancay;Publica
Universidad Nacional Intercultural de la Amazonia;-74.59062339;-8.347610976;Ucayali;Coronel Portillo;Publica
Universidad Nacional Tecnologica de Lima Sur ;-76.93254152;-12.21405026;Lima;Lima;Publica
Universidad Nacional Jose Maria Arguedas;-73.38794173;-13.65702298;Apurímac;Andahuaylas;Publica
Universidad Nacional de Moquegua;-71.3408897;-17.60171139;Moquegua;Mariscal Nieto;Publica
Universidad Nacional de Juliaca;-70.14977743;-15.48790997;Puno;San Román;Publica
Universidad Nacional de Jaen;-78.77230125;-5.604900698;Cajamarca;Jaén;Publica
Universidad Nacional de Frontera;-80.72491006;-4.887807205;Piura;Sullana;Publica
Universidad Nacional Autonoma de Chota;-78.63810251;-6.555620424;Cajamarca;Chota;Publica
Universidad Nacional de Barranca;-77.75823674;-10.7540764;Lima;Barranca;Publica
Universidad Nacional de Cañete;-76.36779783;-13.07295734;Lima;Cañete;Publica
Universidad Nacional Intercultural Fabiola Salazar Leguia de Bagua;-78.53424646;-5.642426266;Amazonas;Bagua;Publica
Universidad Nacional Intercultural de la Selva Central Juan Santos Atahualpa;-75.33225853;-11.04441832;Junín;Chanchamayo;Publica
Universidad Nacional Intercultural de Quillabamba;-72.69173463;-12.85664129;Cusco;La Convención;Publica
Universidad Nacional Autonoma de Alto Amazonas;-76.12874826;-5.897237666;Loreto;Alto Amazonas;Publica
Universidad Nacional Autonoma Altoandina de Tarma;-75.6891827;-11.41979008;Junín;Tarma;Publica
Universidad Nacional Autonoma de Huanta;-74.24372572;-12.93975403;Ayacucho;Huanta;Publica
Universidad Nacional Tecnologica de San Juan de Lurigancho;-77.0097425;-11.98332947;Lima;Lima;Publica
Universidad Autonoma Municipal de Los Olivos;-77.0833903;-12.0001423;Lima;Lima;Publica
Universidad Nacional Autonoma de Tayacaja Daniel Hernandez Morillo;-74.86892;-12.39859828;Huancavelica;Tayacaja;Publica
Universidad Nacional Ciro Alegria;-78.04950298;-7.817795141;La Libertad;Sanchez Carrión;Publica
Pontificia Universidad Catolica del Peru;-77.07940212;-12.06938609;Lima;Lima;Privada
Universidad Peruana Cayetano Heredia;-77.05649417;-12.02375693;Lima;Lima;Privada
Universidad Catolica de Santa Maria;-71.54758689;-16.40598304;Arequipa;Arequipa;Privada
Universidad del Pacifico;-77.04882746;-12.08358707;Lima;Lima;Privada
Universidad de Lima;-76.97102023;-12.08456693;Lima;Lima;Privada
Universidad de San Martin de Porres;-76.9681914;-12.0457906;Lima;Lima;Privada
Universidad Femenina del Sagrado Corazon;-76.96508509;-12.07143195;Lima;Lima;Privada
Universidad Inca Garcilaso de la Vega;-77.0322283;-12.10114955;Lima;Lima;Privada
Universidad de Piura;-80.63467608;-5.169725647;Piura;Piura;Privada
Universidad Ricardo Palma;-76.97970035;-12.13172182;Lima;Lima;Privada
Universidad Andina Nestor Caceres Velasquez;-70.11865627;-15.53261361;Puno;San Román;Privada
Universidad Peruana Los Andes;-75.19240049;-12.03984942;Junín;Huancayo;Privada
Universidad Peruana Union;-76.83965127;-11.98890858;Lima;Lima;Privada
Universidad Andina del Cusco;-71.90391098;-13.53738574;Cusco;Cusco;Privada
Universidad Tecnologica de los Andes;-72.88661586;-13.62576679;Apurímac;Abancay;Privada
Universidad Privada de Tacna;-70.22613866;-18.00477066;Tacna;Tacna;Privada
Universidad Particular de Chiclayo;-79.88074818;-6.79148398;Lambayeque;Chiclayo;Privada
Universidad San Pedro;-78.59076528;-9.052945801;Ancash;Santa;Privada
Universidad Privada Antenor Orrego;-79.03144342;-8.126942483;La Libertad;Trujillo;Privada
Universidad de Huanuco;-76.23703033;-9.928274307;Huánuco;Huánuco;Privada
Universidad Jose Carlos Mariategui ;-70.94223094;-17.17911102;Moquegua;Mariscal Nieto;Privada
Universidad Marcelino Champagnat;-77.00578996;-12.13613497;Lima;Lima;Privada
Universidad Cientifica del Peru ;-73.28206126;-3.769382798;Loreto;Maynas;Privada
Universidad Cesar Vallejo ;-79.04334276;-8.129252321;La Libertad;Trujillo;Privada
Universidad Catolica Los angeles de Chimbote ;-77.5331448;-9.517178676;Ancash;Santa;Privada
Universidad Peruana de Ciencias Aplicadas;-76.96284836;-12.10385119;Lima;Lima;Privada
Universidad Privada del Norte ;-79.04994618;-8.093790882;La Libertad;Trujillo;Privada
Universidad San Ignacio de Loyola ;-76.95379655;-12.07326829;Lima;Lima;Privada
Universidad Alas Peruanas;-77.05130184;-12.06910997;Lima;Lima;Privada
Universidad Privada Norbert Wiener;-77.03722589;-12.06947213;Lima;Lima;Privada
Universidad Catolica San Pablo;-71.53549609;-16.38985904;Arequipa;Arequipa;Privada
Grupo Educativo Universidad Privada de Ica ;-75.73388737;-14.07666842;Ica;Ica;Privada
Universidad Privada San Juan Bautista ;-77.00626865;-12.1960618;Lima;Lima;Privada
Universidad Tecnologica del Peru;-77.03694502;-12.06405418;Lima;Lima;Privada
Universidad Continental;-75.19875685;-12.04758245;Junín;Huancayo;Privada
Universidad Cientifica del Sur ;-76.97678458;-12.22146033;Lima;Lima;Privada
Universidad Catolica Santo Toribio de Mogrovejo;-79.8631083;-6.760118593;Lambayeque;Chiclayo;Privada
Universidad Privada Antonio Guillermo Urrelo;-78.51430689;-7.155866756;Cajamarca;Cajamarca;Privada
Universidad Catolica Sedes Sapientiae;-77.06383042;-11.99976017;Lima;Lima;Privada
Universidad Señor de Sipan;-77.05247094;-12.09198156;Lambayeque;Chiclayo;Privada
Universidad Catolica de Trujillo Benedicto ;-79.01114232;-8.160076871;La Libertad;Trujillo;Privada
Universidad Peruana de las Americas;-77.00720244;-12.05838463;Lima;Lima;Privada
Universidad ESAN;-76.96040267;-12.10568299;Lima;Lima;Privada
Universidad Antonio Ruiz de Montoya;-77.05907142;-12.06990238;Lima;Lima;Privada
Universidad Peruana de Ciencias e Informatica;-77.04210433;-12.07204766;Lima;Lima;Privada
Universidad para el Desarrollo Andino;-74.692267;-12.82267081;Huancavelica;Angaraes;Privada
Universidad Privada Telesup;-77.0345749;-12.0637361;Lima;Lima;Privada
Universidad Sergio Bernales ;-76.36787626;-13.07288107;Lima;Cañete;Privada
Universidad Privada de Pucallpa ;-74.53150159;-8.387368744;Ucayali;Coronel Portillo;Privada
Universidad Autonoma de Ica;-76.12871552;-13.41544111;Ica;Chincha;Privada
Universidad Privada de Trujillo;-78.99440904;-8.107953313;La Libertad;Trujillo;Privada
Universidad Privada San Carlos;-70.02953878;-15.83936719;Puno;Puno;Privada
Universidad Peruana Simon Bolivar;-77.0510524;-12.07132201;Lima;Lima;Privada
Universidad Peruana de Integracion Global;-76.97899082;-12.13433827;Lima;Lima;Privada
Universidad Peruana del Oriente ;-73.28291792;-3.772073019;Loreto;Maynas;Privada
Universidad Autonoma del Peru;-76.97197756;-12.19528669;Lima;Lima;Privada
Universidad de Ciencias y Humanidades;-77.06575533;-11.96123337;Lima;Lima;Privada
Universidad Privada Juan Mejia Baca;-79.83257744;-6.767530843;Lambayeque;Chiclayo;Privada
Universidad Jaime Bausate y Meza;-77.05469769;-12.08475626;Lima;Lima;Privada
Universidad Peruana del Centro;-75.21156783;-12.06979697;Junín;Huancayo;Privada
Universidad Privada Arzobispo Loayza ;-77.03588266;-12.07380754;Lima;Lima;Privada
Universidad Le Cordon Bleu ;-77.05642997;-12.09853666;Lima;Lima;Privada
Universidad Privada de Huancayo Franklin Roosevelt;-75.19576573;-12.04173541;Junín;Huancayo;Privada
Universidad de Lambayeque ;-79.84512815;-6.774307847;Lambayeque;Chiclayo;Privada
Universidad de Ciencias y Artes de America Latina ;-76.90864734;-12.08555453;Lima;Lima;Privada
Universidad Peruana de Arte Orval ;-76.99128336;-12.11067639;Lima;Lima;Privada
Universidad Privada de la Selva Peruana;-73.2471632;-3.754517004;Loreto;Maynas;Privada
Universidad Ciencias de la Salud;-71.54570788;-16.40273831;Arequipa;Arequipa;Privada
Universidad de Ayacucho Federico Froebel;-74.22865136;-13.14811665;Ayacucho;Huamanga;Privada
Universidad Peruana de Investigacion y Negocios ;-77.04629526;-12.08238665;Lima;Lima;Privada
Universidad Peruana Austral del Cusco;-71.95158723;-13.52533266;Cusco;Cusco;Privada
Universidad Autonoma San Francisco;-71.54300812;-16.4076164;Arequipa;Arequipa;Privada
Universidad San Andres;-77.0598338;-11.99036691;Lima;Lima;Privada
Universidad Interamericana para el Desarrollo;-77.04440934;-12.0562087;Lima;Lima;Privada
Universidad Privada Juan Pablo II;-76.90368512;-12.02092072;Lima;Lima;Privada
Universidad Privada Leonardo Da Vinci;-79.03185417;-8.115004402;La Libertad;Trujillo;Privada
Universidad de Ingenieria y Tecnologia;-77.02213037;-12.13503757;Lima;Lima;Privada
Universidad La Salle;-71.55618127;-16.42397775;Arequipa;Arequipa;Privada
Universidad Latinoamericana CIMA;-70.24231873;-18.01544626;Tacna;Tacna;Privada
Universidad Privada Autonoma del Sur;-71.52809301;-16.40839815;Arequipa;Arequipa;Privada
Universidad Maria Auxiliadora;-77.01675909;-11.9781061;Lima;Lima;Privada
Universidad Politecnica Amazonica;-78.44947883;-5.746886122;Amazonas;Utcubamba;Privada
Universidad Santo Domingo de Guzman;-76.98298319;-11.91115393;Lima;Huarochirí;Privada
Universidad Maritima del Peru;-77.14714183;-12.06120618;Callao;Callao;Privada
Universidad Privada Lider Peruana;-72.69218732;-12.86029334;Cusco;La Convención;Privada
Universidad Privada Peruano Alemana;-77.02373388;-12.16605636;Lima;Lima;Privada
Universidad Global del Cusco;-71.94366152;-13.52409431;Cusco;Cusco;Privada
Universidad Santo Tomas de Aquino de Ciencia e Integracion;-75.20849565;-12.08383017;Junín;Huancayo;Privada
Universidad Privada SISE;-77.03587164;-12.07528859;Lima;Lima;Privada
Universidad Seminario Evangelico de Lima ;-76.96006327;-12.06379102;Lima;Lima;Privada
Universidad Seminario Biblico Andino ;-77.05340853;-12.06942145;Lima;Lima;Privada
Universidad Catolica San Jose;-77.06917883;-12.08347177;Lima;Lima;Privada
